FeedbackID,InternID,Date,Source,Department,FeedbackText,TrueSentiment
1,1048,2023-11-11,Social Media,Marketing,"Amazing internship, boosted my confidence..",Positive
2,1073,2024-02-05,Survey,Marketing,Great experience! Learned so much. not bad,Positive
3,1028,2024-10-16,Survey,HR,Projects were confusing and unclear. great,Negative
4,1009,2023-09-01,Social Media,Engineering,"Loved working on the projects, very engaging. not bad",Positive
5,1085,2024-10-16,Social Media,HR,Great experience! Learned so much. not bad,Positive
6,1031,2023-03-11,Social Media,Engineering,"Loved working on the projects, very engaging..",Positive
7,1049,2024-03-24,Platform Comment,Marketing,Great experience! Learned so much.,Positive
8,1044,2024-07-13,Platform Comment,Data Science,The tasks were manageable. ,Neutral
9,1097,2023-08-19,Email,HR,Nothing special but okay overall. not bad,Neutral
10,1002,2023-11-23,Social Media,Data Science,Great experience! Learned so much.!,Positive
11,1048,2023-06-14,Survey,Finance,"Loved working on the projects, very engaging..",Positive
12,1078,2024-05-09,Survey,HR,"Loved working on the projects, very engaging. great",Positive
13,1055,2023-06-10,Survey,Data Science,Didn’t get proper guidance. great,Negative
14,1052,2024-07-21,Social Media,Design,Learned some things but could be improved..,Neutral
15,1012,2023-02-20,Platform Comment,Finance,Average communication overall..,Neutral
16,1006,2024-01-05,Survey,HR,"Poor experience, not satisfied..",Negative
17,1080,2024-09-06,Platform Comment,Marketing,"Loved working on the projects, very engaging. not bad",Positive
18,1021,2024-10-15,Social Media,Data Science,Great experience! Learned so much..,Positive
19,1100,2024-02-12,Platform Comment,HR,It was an okay experience.!,Neutral
20,1082,2024-07-11,Platform Comment,Marketing,Projects were confusing and unclear.,Negative
21,1023,2024-04-01,Survey,Engineering,The tasks were manageable.!,Neutral
22,1028,2023-10-03,Survey,Marketing,The tasks were manageable.!,Neutral
23,1085,2023-12-19,Platform Comment,Finance,Too much delay in mentor response.,Negative
24,1049,2024-06-19,Platform Comment,Finance,"Amazing internship, boosted my confidence.",Positive
25,1030,2024-05-02,Social Media,Data Science,"Poor experience, not satisfied. great",Negative
26,1073,2024-06-13,Email,Data Science,It was an okay experience. great,Neutral
27,1027,2023-07-17,Email,Data Science,Learned some things but could be improved..,Neutral
28,1055,2023-07-26,Email,Finance,It was an okay experience. not bad,Neutral
